time,Open,High,Low,Close,Adj Close,Volume,ticker
2022-06-02 11:00:00+00:00,0.00015001148858573288,0.00015077023999765515,0.00014977944374550134,0.00015075734700076282,0.00015075734700076282,0,UNI-USD
2022-06-02 12:00:00+00:00,0.00015079024888109416,0.00015079024888109416,0.00015036082186270505,0.0001504251704318449,0.0001504251704318449,0,UNI-USD
2022-06-02 13:00:00+00:00,0.0001503802923252806,0.0001505635736975819,0.00014844187535345554,0.00014927625306881964,0.00014927625306881964,0,UNI-USD
2022-06-02 14:00:00+00:00,0.00014958056272007525,0.00015025543689262122,0.00014923345588613302,0.00014991503849159926,0.00014991503849159926,1,UNI-USD
2022-06-02 15:00:00+00:00,0.0001500208309153095,0.0001515976182417944,0.0001500208309153095,0.00015110307140275836,0.00015110307140275836,0,UNI-USD
2022-06-02 16:00:00+00:00,0.00015107453509699553,0.0001517020573373884,0.00015105634520296007,0.00015131040709093213,0.00015131040709093213,0,UNI-USD
2022-06-02 17:00:00+00:00,0.0001513724564574659,0.0001516168558737263,0.000150947758811526,0.0001509660214651376,0.0001509660214651376,0,UNI-USD
2022-06-02 18:00:00+00:00,0.00015094045375008136,0.0001514817849965766,0.0001503929088357836,0.00015071799862198532,0.00015071799862198532,0,UNI-USD
2022-06-02 19:00:00+00:00,0.00015060004079714417,0.0001513329625595361,0.00015042147424537688,0.0001513329625595361,0.0001513329625595361,0,UNI-USD
2022-06-02 20:00:00+00:00,0.00015129739767871797,0.00015162379713729024,0.00015129739767871797,0.00015130804968066514,0.00015130804968066514,0,UNI-USD
